image,actual_count,predicted_count,absolute_error,counting_accuracy
0d48b540-c0b2-437a-af43-95fa16f6b370_jpg.rf.f0f9a5c2502eef06336367a301d720cf.jpg,5,5,0,1.0
0e0af085-332d-4b6b-8a90-d7b2b940cf30_jpg.rf.e72537eb5c3ad55fa17e5b0cf510780c.jpg,13,13,0,1.0
10081-jpg-72005-1777119396248-0_jpg.rf.03a0f79fee06e1de8a89aeaf5c0bfcba.jpg,10,11,1,0.9
10082-jpg-48870-1777119396208-0_jpg.rf.b08f99186197ca55ae7065318f0bdf3d.jpg,6,8,2,0.6667
1356e429-e3c6-4cd3-96fe-53fc186f6c75_jpg.rf.e5320ded39255deab2695ad10aad14a9.jpg,7,13,6,0.1429
456432f7-fa44-4fcf-bd8a-334588e8efce_jpg.rf.1104b146b53765b24a838415f7ac0145.jpg,0,1,1,0.0
475ccef4-7dcb-494f-9fae-7272775b6e19_jpg.rf.72f50e0b5d3b8d76e91b97d531d1855a.jpg,4,8,4,0.0
53b3d685-f24d-4db3-909e-7f6e22981249_jpg.rf.f4b22cb53d028059aa3bdf9279f11913.jpg,3,6,3,0.0
5b776519-2583-4d39-94ca-411d05ab7179_jpg.rf.6481e3b106f4dbc8a1f1e9c28a7cdc78.jpg,5,6,1,0.8
5fe5f1b4-6629-44b8-ae8d-8eb27e64e9f0_jpg.rf.a710a04b7a59b6056074de66f0710547.jpg,6,14,8,0.0
7a7193fe-5771-4eb3-b28b-dffee801ec4a_jpg.rf.d45fc7069bcd42a1dfe2ca381c72376d.jpg,10,8,2,0.8
9e58ed3c-c701-4f77-b8d3-f685b6225449_jpg.rf.598e0b409087fe648d80f6175dec9de3.jpg,15,23,8,0.4667
a4011712-e90f-4e2a-89fc-2e6f5c623e62_jpg.rf.137c14bf9aded65c6764158a9723ed8e.jpg,17,19,2,0.8824
aee8537c-e12a-4e18-af57-58e8850ba4ae_jpg.rf.640a8d58124b8c7b188956e62e7a0134.jpg,9,13,4,0.5556
needs-editing-1777127730714_jpg.rf.5a9263a99d1d7ef5217b527be9c76033.jpg,10,8,2,0.8
needs-editing-1777127731173_jpg.rf.2d86b7adf07df7662597abc2dda4ffeb.jpg,12,10,2,0.8333
needs-editing-1777127731210_jpg.rf.bb5394483ca1acc0a8175f9748c842f7.jpg,8,10,2,0.75
needs-editing-1777127731382_jpg.rf.f1e2123935e6ff74f422cd2fb2cf423f.jpg,13,11,2,0.8462
needs-editing-1777127731410_jpg.rf.8e89d0c952be8b07b3944fa82f941982.jpg,14,14,0,1.0
needs-editing-1777127731635_jpg.rf.5870808b74e55305fbc61a024b7a262e.jpg,9,15,6,0.3333
needs-editing-1777127731920_jpg.rf.49d0e86c197ad8ef85483075dcb020f6.jpg,6,7,1,0.8333
needs-editing-1777127732027_jpg.rf.ddf4fe43b4b8f83f73f90164b2758411.jpg,0,8,8,0.0
needs-editing-1777127732040_jpg.rf.8ec7446f4fa853153f353eaa57c23610.jpg,8,11,3,0.625
needs-editing-1777127732537_jpg.rf.20a36b1fdad869cecea634f8e0ae8784.jpg,6,14,8,0.0
needs-editing-1777127732871_jpg.rf.a46e2b6fad7e6b0d6bb3931ad3cfbcb0.jpg,12,15,3,0.75
needs-editing-1777127733040_jpg.rf.bda15942d908d964a386250df035425a.jpg,15,8,7,0.5333
needs-editing-1777127733333_jpg.rf.d702f6b4e77d46285a361cc09579501d.jpg,2,10,8,0.0
needs-editing-1777127733392_jpg.rf.46df86713410d3236ab60238cbdd32f8.jpg,16,19,3,0.8125
needs-editing-1777127734360_jpg.rf.e4d2fe80ebe13e24bedf24d908000293.jpg,16,17,1,0.9375
needs-editing-1777127734443_jpg.rf.6786b1be0db688cd32b8a01d5894f2bf.jpg,5,5,0,1.0
needs-editing-1777127737927_jpg.rf.d4c79b0d7a6b05e579c0279d89cedfcc.jpg,15,16,1,0.9333
needs-editing-1777225291212_jpg.rf.33bfa088d2760aa139cde46fd9c8d406.jpg,12,15,3,0.75
needs-editing-1777225291824_jpg.rf.1cb3e5bb3eb3fbf0cc0390c7e6e5d6de.jpg,11,13,2,0.8182
needs-editing-1777227704688_jpg.rf.495f8399619588069f3ff1b353f55775.jpg,6,14,8,0.0
needs-editing-1777227704822_jpg.rf.205158ce3ff38c3068abeeae65dfe5db.jpg,0,0,0,1.0
