epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2767,2.20524,2.48792,1.87811,0.17495,0.41877,0.13967,0.07478,1.63614,7.67667,1.53141,0.00012,0.00012,0.00012
2,151.88,1.15964,1.3179,1.23765,0.22119,0.62816,0.33014,0.18552,1.3858,9.72923,1.63857,0.000257426,0.000257426,0.000257426
3,227.336,1.07071,1.17509,1.22528,0.49104,0.58845,0.57065,0.3848,1.14999,4.05803,1.50192,0.00039208,0.00039208,0.00039208
4,303.118,1.14081,1.1808,1.27009,0.29654,0.7148,0.48889,0.27629,1.24312,8.02322,1.51553,0.000523962,0.000523962,0.000523962
5,378.417,1.07922,1.06272,1.214,0.52325,0.60623,0.51525,0.33198,1.23509,4.19596,1.55836,0.000653072,0.000653072,0.000653072
6,453.88,1.07882,1.07405,1.233,0.28958,0.68231,0.32961,0.18188,1.34171,8.88971,1.83052,0.00077941,0.00077941,0.00077941
7,529.162,1.0968,1.18478,1.25476,0.23804,0.31769,0.16683,0.08397,1.88058,6.33035,1.8928,0.000902976,0.000902976,0.000902976
8,604.158,1.16767,1.18901,1.28869,0.17091,0.38103,0.17896,0.09072,1.84095,6.26838,1.97492,0.00102377,0.00102377,0.00102377
9,679.19,1.12861,1.08758,1.23672,0.24179,0.22022,0.10343,0.03721,2.59125,5.93827,2.93702,0.00114179,0.00114179,0.00114179
10,757.293,1.0613,1.03782,1.20656,0.0898,0.38989,0.05329,0.02009,2.32105,38.6802,2.98014,0.00125704,0.00125704,0.00125704
11,831.234,1.11937,1.07019,1.27643,0.03403,0.36823,0.02016,0.0089,2.44869,86.0519,6.47405,0.00136952,0.00136952,0.00136952
12,905.846,1.13325,1.10201,1.25589,0.14261,0.47676,0.14445,0.06971,1.93699,9.75574,2.34541,0.00147923,0.00147923,0.00147923
13,980.282,1.15085,1.0559,1.25798,0.33844,0.52267,0.29248,0.14796,1.62341,5.84586,1.99098,0.00158616,0.00158616,0.00158616
14,1054.82,1.16759,1.09176,1.27576,0.3253,0.34296,0.20292,0.09527,2.33226,5.69368,2.67861,0.00169032,0.00169032,0.00169032
15,1128.9,1.08936,1.06389,1.22801,0.37066,0.48904,0.29739,0.16402,1.61264,6.14288,2.00341,0.0017228,0.0017228,0.0017228
16,1202.62,1.10411,1.06665,1.24722,0.42602,0.40072,0.28829,0.12201,2.08426,4.04621,2.49796,0.001703,0.001703,0.001703
17,1277.14,1.04754,0.99346,1.21966,0.51267,0.43676,0.41554,0.24113,1.71789,3.09402,2.09418,0.0016832,0.0016832,0.0016832
18,1347.53,1.03596,0.9798,1.19515,0.60452,0.58845,0.56061,0.35927,1.31616,2.72167,1.65852,0.0016634,0.0016634,0.0016634
19,1420.6,0.9702,0.92744,1.18931,0.62279,0.60289,0.61711,0.40301,1.26376,3.16892,1.62581,0.0016436,0.0016436,0.0016436
20,1499.23,1.05968,1.01359,1.20554,0.64111,0.63899,0.66257,0.44241,1.21414,2.69096,1.45638,0.0016238,0.0016238,0.0016238
21,1579.98,1.09817,1.03589,1.2151,0.6219,0.62816,0.63081,0.38734,1.28639,2.56206,1.46585,0.001604,0.001604,0.001604
22,1662.82,0.91583,0.88778,1.11755,0.36676,0.50601,0.36274,0.21427,1.56351,3.83964,1.69677,0.0015842,0.0015842,0.0015842
23,1743.95,1.05235,0.97266,1.21881,0.71259,0.70397,0.70473,0.50189,1.12489,1.69729,1.40289,0.0015644,0.0015644,0.0015644
24,1814.91,1.01203,0.94443,1.20716,0.76706,0.70141,0.75364,0.53623,1.07827,1.45911,1.35251,0.0015446,0.0015446,0.0015446
25,1885.58,1.02868,0.93785,1.19057,0.80962,0.69675,0.77933,0.56167,1.01992,1.22625,1.29168,0.0015248,0.0015248,0.0015248
26,1959.59,1.01866,0.94157,1.20176,0.82072,0.69675,0.76247,0.54618,1.00795,1.57647,1.28432,0.001505,0.001505,0.001505
27,2037.94,0.93818,0.92007,1.17372,0.78637,0.6787,0.73725,0.53658,1.04074,1.35275,1.27374,0.0014852,0.0014852,0.0014852
28,2117.66,0.94754,0.90022,1.1604,0.76282,0.66183,0.71567,0.52627,1.03151,1.48786,1.30397,0.0014654,0.0014654,0.0014654
29,2196.02,1.00301,0.9335,1.18809,0.76106,0.60944,0.71389,0.49901,1.09357,1.88756,1.33498,0.0014456,0.0014456,0.0014456
30,2270.75,0.98257,0.92897,1.17246,0.7867,0.67148,0.76467,0.54811,1.0525,1.55942,1.29156,0.0014258,0.0014258,0.0014258
31,2346.87,0.96216,0.88527,1.1532,0.7574,0.74387,0.76263,0.56946,0.95,1.10619,1.24785,0.001406,0.001406,0.001406
32,2424.99,0.97701,0.90275,1.1713,0.75767,0.69314,0.72059,0.52113,1.03831,1.17533,1.35904,0.0013862,0.0013862,0.0013862
33,2508.3,0.95702,0.91682,1.16665,0.77487,0.64621,0.69146,0.50192,1.12171,1.21228,1.42229,0.0013664,0.0013664,0.0013664
34,2592.32,1.01203,0.96326,1.18468,0.81895,0.67509,0.73442,0.50856,1.12041,1.24034,1.36526,0.0013466,0.0013466,0.0013466
35,2671.88,0.96069,0.90521,1.17189,0.7206,0.72563,0.76731,0.55193,0.99939,1.37322,1.31605,0.0013268,0.0013268,0.0013268
36,2754.82,0.95825,0.90773,1.13607,0.74957,0.73479,0.76009,0.56453,0.9787,1.24271,1.26222,0.001307,0.001307,0.001307
37,2837.68,0.88626,0.81048,1.10912,0.81298,0.70036,0.77197,0.57451,0.99173,1.20599,1.26957,0.0012872,0.0012872,0.0012872
38,2949.61,0.90545,0.85479,1.148,0.76438,0.7509,0.79991,0.59756,0.91136,1.11582,1.21349,0.0012674,0.0012674,0.0012674
39,3032.96,0.8894,0.79799,1.11954,0.8259,0.70215,0.80114,0.60126,0.93033,1.19677,1.23609,0.0012476,0.0012476,0.0012476
40,3116.11,0.95258,0.87113,1.15579,0.82316,0.72563,0.78572,0.57689,0.95484,1.01467,1.23011,0.0012278,0.0012278,0.0012278
41,3193.53,0.92099,0.8464,1.13732,0.8279,0.69314,0.77783,0.57151,0.95538,0.94771,1.21544,0.001208,0.001208,0.001208
42,3269.08,0.92036,0.8369,1.12497,0.81061,0.64898,0.75541,0.57837,0.93804,0.91085,1.2349,0.0011882,0.0011882,0.0011882
43,3344.61,0.86941,0.77979,1.09503,0.762,0.70397,0.78902,0.60431,0.92843,0.91316,1.20628,0.0011684,0.0011684,0.0011684
44,3420.34,0.80416,0.73297,1.08789,0.82276,0.73738,0.80412,0.59636,0.97772,0.94741,1.26271,0.0011486,0.0011486,0.0011486
45,3495.87,0.90252,0.79313,1.09041,0.80762,0.74007,0.79654,0.59432,0.98129,0.9084,1.27497,0.0011288,0.0011288,0.0011288
46,3571.54,0.85823,0.7579,1.09323,0.80011,0.72924,0.798,0.5873,0.97672,0.85316,1.27517,0.001109,0.001109,0.001109
47,3647.12,0.83726,0.77285,1.07717,0.83814,0.72563,0.82089,0.61901,0.93786,0.82905,1.23516,0.0010892,0.0010892,0.0010892
48,3727.82,0.87299,0.77355,1.11721,0.86084,0.69232,0.79432,0.5951,0.951,0.94907,1.21114,0.0010694,0.0010694,0.0010694
49,3803.41,0.87886,0.76443,1.10699,0.79063,0.7148,0.77643,0.59517,0.93304,0.94975,1.20025,0.0010496,0.0010496,0.0010496
50,3878.8,0.79926,0.73007,1.05841,0.81688,0.70397,0.79112,0.60308,0.91435,0.88465,1.18739,0.0010298,0.0010298,0.0010298
51,3954.26,0.77935,0.67307,1.05982,0.81831,0.73285,0.80796,0.60817,0.92677,0.84609,1.21774,0.00101,0.00101,0.00101
52,4029.7,0.84998,0.76675,1.09075,0.84734,0.70036,0.82184,0.62136,0.91528,0.83162,1.22036,0.0009902,0.0009902,0.0009902
53,4105.75,0.90825,0.82607,1.12493,0.82881,0.70758,0.82231,0.62845,0.9194,0.8222,1.22365,0.0009704,0.0009704,0.0009704
54,4181.05,0.80835,0.71795,1.07924,0.80383,0.76923,0.80103,0.61596,0.89949,0.83027,1.19468,0.0009506,0.0009506,0.0009506
