epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5184,1.51292,1.72424,1.37099,0.45031,0.49794,0.41154,0.25737,1.17144,4.83908,1.33033,2e-05,2e-05,2e-05
2,39.9747,1.27911,1.32845,1.26922,0.15696,0.2549,0.12017,0.06946,1.0826,9.00619,1.39719,5.8812e-05,5.8812e-05,5.8812e-05
3,59.275,0.85495,1.04835,1.1301,0.1565,0.35621,0.15357,0.08715,1.12651,6.81499,1.39149,9.604e-05,9.604e-05,9.604e-05
4,80.3058,0.69384,0.80499,1.02713,0.2895,0.36601,0.31747,0.191,1.19534,5.60655,1.47227,0.000131684,0.000131684,0.000131684
5,101.757,0.67738,0.66519,0.97518,0.32084,0.36601,0.34928,0.2342,1.2175,4.00794,1.50268,0.000165744,0.000165744,0.000165744
6,120.844,0.60426,0.5787,0.9279,0.3714,0.38889,0.32417,0.21241,1.31284,2.98558,1.5436,0.00019822,0.00019822,0.00019822
7,140.029,0.56851,0.54498,0.95034,0.4783,0.42484,0.44637,0.29947,1.35664,3.43954,1.55762,0.000229112,0.000229112,0.000229112
8,159.419,0.5407,0.47133,0.91739,0.52094,0.48366,0.47859,0.29843,1.47068,3.44631,1.63949,0.00025842,0.00025842,0.00025842
9,178.818,0.52172,0.46102,0.91442,0.47722,0.40196,0.4187,0.26026,1.62378,2.73805,1.73897,0.000286144,0.000286144,0.000286144
10,198.19,0.55695,0.49856,0.95609,0.3624,0.52941,0.39947,0.2352,1.52744,3.63369,1.64131,0.000312284,0.000312284,0.000312284
11,217.439,0.50682,0.4247,0.88271,0.36085,0.53922,0.3754,0.21185,1.42398,4.24346,1.55475,0.00033684,0.00033684,0.00033684
12,236.882,0.57911,0.5474,0.94861,0.36085,0.53922,0.3754,0.21185,1.42398,4.24346,1.55475,0.000359812,0.000359812,0.000359812
13,255.367,0.5572,0.43878,0.90908,0.48778,0.46992,0.44286,0.27501,1.47635,2.77693,1.55583,0.0003812,0.0003812,0.0003812
14,274.694,0.57889,0.51423,0.94728,0.6538,0.5817,0.61591,0.37979,1.3944,2.51462,1.60696,0.000401004,0.000401004,0.000401004
15,299.612,0.51862,0.54459,0.89934,0.6538,0.5817,0.61591,0.37979,1.3944,2.51462,1.60696,0.000419224,0.000419224,0.000419224
16,323.725,0.50956,0.45587,0.90542,0.70226,0.56209,0.636,0.36694,1.55205,4.08444,1.89014,0.00043586,0.00043586,0.00043586
17,342.579,0.52059,0.44663,0.91806,0.14485,0.54575,0.11702,0.06036,1.79873,23.2153,2.31093,0.000450912,0.000450912,0.000450912
18,361.357,0.47339,0.38852,0.89268,0.14485,0.54575,0.11702,0.06036,1.79873,23.2153,2.31093,0.00046438,0.00046438,0.00046438
19,380.959,0.53088,0.46932,0.94742,0.10959,0.46405,0.08182,0.0395,2.00574,25.0758,2.49585,0.000476264,0.000476264,0.000476264
20,400.995,0.49098,0.40071,0.90667,0.10959,0.46405,0.08182,0.0395,2.00574,25.0758,2.49585,0.000486564,0.000486564,0.000486564
21,419.474,0.47832,0.3757,0.92678,0.21478,0.35294,0.15842,0.09045,1.91421,9.08523,2.39874,0.00049528,0.00049528,0.00049528
22,437.71,0.49147,0.40468,0.90515,0.21478,0.35294,0.15842,0.09045,1.91421,9.08523,2.39874,0.000502412,0.000502412,0.000502412
23,454.721,0.49199,0.3827,0.89448,0.5671,0.48376,0.44038,0.25865,1.84308,1.97416,2.12175,0.00050796,0.00050796,0.00050796
24,471.799,0.50346,0.42284,0.89088,0.5671,0.48376,0.44038,0.25865,1.84308,1.97416,2.12175,0.000511924,0.000511924,0.000511924
25,488.958,0.52612,0.38693,0.92177,0.58066,0.51135,0.47086,0.26447,1.88344,1.74405,2.05269,0.000514304,0.000514304,0.000514304
26,506.025,0.47011,0.40649,0.88128,0.58066,0.51135,0.47086,0.26447,1.88344,1.74405,2.05269,0.0005151,0.0005151,0.0005151
27,523.336,0.53733,0.44348,0.96349,0.58066,0.51135,0.47086,0.26447,1.88344,1.74405,2.05269,0.000514312,0.000514312,0.000514312
28,540.705,0.46393,0.37567,0.88175,0.61909,0.57363,0.53682,0.30425,1.68534,1.85358,1.93151,0.00051194,0.00051194,0.00051194
29,557.957,0.50259,0.40809,0.90424,0.61909,0.57363,0.53682,0.30425,1.68534,1.85358,1.93151,0.000507984,0.000507984,0.000507984
30,575.322,0.48781,0.36518,0.90741,0.56012,0.51634,0.51117,0.30065,1.67934,1.88945,1.87493,0.000502444,0.000502444,0.000502444
31,592.537,0.46824,0.38922,0.89283,0.56012,0.51634,0.51117,0.30065,1.67934,1.88945,1.87493,0.00049532,0.00049532,0.00049532
32,609.739,0.56101,0.42654,0.91147,0.56012,0.51634,0.51117,0.30065,1.67934,1.88945,1.87493,0.000486612,0.000486612,0.000486612
33,627.083,0.51636,0.43402,0.88453,0.63033,0.46251,0.50153,0.29415,1.71414,2.14669,1.84665,0.00047632,0.00047632,0.00047632
34,644.492,0.479,0.41277,0.90381,0.63033,0.46251,0.50153,0.29415,1.71414,2.14669,1.84665,0.000464444,0.000464444,0.000464444
35,661.843,0.56861,0.43689,0.93078,0.63033,0.46251,0.50153,0.29415,1.71414,2.14669,1.84665,0.000450984,0.000450984,0.000450984
36,681.746,0.46785,0.3841,0.90969,0.66808,0.44118,0.51197,0.30217,1.71912,2.2998,1.81498,0.00043594,0.00043594,0.00043594
37,698.947,0.43804,0.34067,0.87298,0.66808,0.44118,0.51197,0.30217,1.71912,2.2998,1.81498,0.000419312,0.000419312,0.000419312
38,715.91,0.44629,0.3389,0.89805,0.66808,0.44118,0.51197,0.30217,1.71912,2.2998,1.81498,0.0004011,0.0004011,0.0004011
39,732.825,0.41291,0.36618,0.87041,0.61946,0.52941,0.52499,0.3233,1.65875,1.78757,1.7691,0.000381304,0.000381304,0.000381304
40,750.021,0.44732,0.34094,0.87745,0.61946,0.52941,0.52499,0.3233,1.65875,1.78757,1.7691,0.000359924,0.000359924,0.000359924
41,767.039,0.45482,0.72206,0.91421,0.61946,0.52941,0.52499,0.3233,1.65875,1.78757,1.7691,0.00033696,0.00033696,0.00033696
42,783.856,0.41471,0.43204,0.87149,0.70397,0.46732,0.52055,0.31023,1.72138,1.64118,1.83619,0.000312412,0.000312412,0.000312412
43,800.584,0.43137,0.4182,0.88399,0.70397,0.46732,0.52055,0.31023,1.72138,1.64118,1.83619,0.00028628,0.00028628,0.00028628
44,817.488,0.44829,0.41632,0.87565,0.70397,0.46732,0.52055,0.31023,1.72138,1.64118,1.83619,0.000258564,0.000258564,0.000258564
45,834.261,0.43478,0.38883,0.90504,0.70397,0.46732,0.52055,0.31023,1.72138,1.64118,1.83619,0.000229264,0.000229264,0.000229264
46,851.403,0.42272,0.40507,0.87161,0.60555,0.54575,0.51014,0.31239,1.77375,1.62867,1.8567,0.00019838,0.00019838,0.00019838
